Section-07,Y orig,Xorig,Y,X,,Yplot,Xplot,,Dp-05,HHp-05,MSp-05,Up-05,Di-05,HHi-05,MSi-05,Ui-05,Krum-05,Rock-05,,Dp-07,HHp-07,MSp-07,Up-07,Di-07,HHi-07,MSi-07,Ui-07,Krum-07,Rock-07,Tp-07,,,Dp-14,HHp-14,MSp-14,Up-14,Di-14,HHi-14,MSi-14,Ui-14,Krum-14,Tp-14,,Section-15,local x-15,local y-15,yplot-15,xplot-15,,Krum-15,Dp-15,HHp-15,MSp-15,Up-15,Di-15,HHi-15,MSi-15,Ui-15,Rock-15,,,,Section-18,X,Y,Dp-18,HHp-18,MSp-18,Up-18,Di-18,HHi-18,MSi-18,Ui-18,,Tp-18
LLL,3,8,3,8,,8,3,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,0,0,0,0,0,0,100,0,0,,,0,0,0,0,0,0,0,0,100,0,,LLL,2,2,8,3,,100,0,0,0,0,0,0,0,0,0,,,,LLL,2,7,0,0,0,0,0,0,0,0,,0
LLL,3,9,3,9,,9,3,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,0,0,0,0,0,0,100,0,0,,,0,0,0,0,0,0,0,0,90,0,,LLL,1,2,9,3,,100,0,0,0,0,0,0,0,0,0,,,,LLL,2,8,0,1,2,0,0,3,2,0,,3
LLL,3,10,3,10,,10,3,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,0,0,0,0,0,0,100,0,0,,,0,0,0,0,0,0,0,0,90,0,,LLL,0,2,10,3,,100,0,0,0,0,0,0,0,0,0,,,,LLL,2,9,1,2,1,0,1,2,2,0,,4
LLL,4,1,4,1,,1,4,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,0,0,0,0,0,0,100,0,0,,,0,0,0,0,0,0,0,0,100,0,,LLL,9,3,1,4,,100,0,0,0,0,0,0,0,0,0,,,,LLL,3,0,0,0,0,0,0,0,0,0,,0
LLL,4,2,4,2,,2,4,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,0,0,0,0,0,0,100,0,0,,,0,0,0,0,0,0,0,0,100,0,,LLL,8,3,2,4,,100,0,0,0,0,0,0,0,0,0,,,,LLL,3,1,0,0,0,0,0,0,0,0,,0
LLL,4,3,4,3,,3,4,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,0,0,0,0,0,0,100,0,0,,,0,0,0,0,0,0,0,0,100,0,,LLL,7,3,3,4,,100,0,0,0,0,0,0,0,0,0,,,,LLL,3,2,0,0,0,0,0,0,0,0,,0
LLL,4,4,4,4,,4,4,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,0,0,0,0,0,0,100,0,0,,,0,0,0,0,0,0,0,0,100,0,,LLL,6,3,4,4,,100,0,0,0,0,0,0,0,0,0,,,,LLL,3,3,0,0,0,0,0,0,0,0,,0
LLL,4,5,4,5,,5,4,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,0,0,0,0,0,0,100,0,0,,,0,0,0,0,0,0,0,0,100,0,,LLL,5,3,5,4,,100,0,0,0,0,0,0,0,0,0,,,,LLL,3,4,0,0,0,0,0,0,0,0,,0
LLL,4,6,4,6,,6,4,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,0,0,0,0,0,0,92.5,0,0,,,0,0,0,0,0,0,0,0,100,0,,LLL,4,3,6,4,,100,0,0,0,0,0,0,0,0,0,,,,LLL,3,5,0,0,0,0,0,0,0,0,,0
LLL,4,7,4,7,,7,4,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,0,0,0,0,0,0,82.5,0,0,,,0,0,0,0,0,0,0,0,100,0,,LLL,3,3,7,4,,100,0,0,0,0,0,0,0,0,0,,,,LLL,3,6,0,0,0,0,0,0,0,0,,0
LLL,4,8,4,8,,8,4,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,0,0,0,0,0,0,73.75,0,0,,,0,0,0,0,0,0,0,0,30,0,,LLL,2,3,8,4,,90,0,0,0,0,0,0,0,0,0,,,,LLL,3,7,0,0,0,0,0,0,0,0,,0
LLL,4,9,4,9,,9,4,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,0,0,0,0,0,0,53.75,2,0,,,0,0,0,0,0,0,0,0,75,0,,LLL,1,3,9,4,,31.25,0,0,0,0,0,0,0,0,0,,,,LLL,3,8,1,0,0,0,6,0,0,0,,1
LLL,4,10,4,10,,10,4,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,0,0,0,0,0,0,18.75,5,0,,,0,0,0,0,0,0,0,0,75,0,,LLL,0,3,10,4,,20,0,0,0,0,0,0,0,0,0,,,,LLL,3,9,0,0,0,0,0,0,0,0,,0
LLL,5,1,5,1,,1,5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,0,0,0,0,0,0,100,0,0,,,0,0,0,0,0,0,0,0,100,0,,LLL,9,4,1,5,,100,0,0,0,0,0,0,0,0,0,,,,LLL,4,0,0,0,0,0,0,0,0,0,,0
LLL,5,2,5,2,,2,5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,0,0,0,0,0,0,100,0,0,,,0,0,0,0,0,0,0,0,100,0,,LLL,8,4,2,5,,100,0,0,0,0,0,0,0,0,0,,,,LLL,4,1,0,0,0,0,0,0,0,0,,0
LLL,5,3,5,3,,3,5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,0,0,0,0,0,0,100,0,0,,,0,0,0,0,0,0,0,0,100,0,,LLL,7,4,3,5,,100,0,0,0,0,0,0,0,0,0,,,,LLL,4,2,0,0,0,0,0,0,0,0,,0
